"sex","age","month","unemployed"
"total","total 15-74 years","2013M04",8.9
"total","total 15-74 years","2013M05",8.3
"total","total 15-74 years","2013M06",9.2
"total","total 15-74 years","2013M07",7.3
"total","total 15-74 years","2013M08",7.4
"total","total 15-74 years","2013M09",7.6
"total","total 15-74 years","2013M10",7.4
"total","total 15-74 years","2013M11",7.6
"total","total 15-74 years","2013M12",7.6
"total","total 15-74 years","2014M01",8.8
"total","total 15-74 years","2014M02",8.6
"total","total 15-74 years","2014M03",8.7
"total","total 15-74 years","2014M04",8.8
"total","total 15-74 years","2014M05",8.1
"total","total 15-74 years","2014M06",9.3
"total","total 15-74 years","2014M07",7.2
"total","total 15-74 years","2014M08",7.5
"total","total 15-74 years","2014M09",7.3
"total","total 15-74 years","2014M10",7.6
"total","total 15-74 years","2014M11",7.5
"total","total 15-74 years","2014M12",7.1
"total","total 15-74 years","2015M01",8.5
"total","total 15-74 years","2015M02",8.5
"total","total 15-74 years","2015M03",8.1
"total","total 15-74 years","2015M04",8.5
"total","total 15-74 years","2015M05",8.1
"total","total 15-74 years","2015M06",8.6
"total","total 15-74 years","2015M07",6.6
"total","total 15-74 years","2015M08",6.5
"total","total 15-74 years","2015M09",6.8
"total","total 15-74 years","2015M10",6.8
"total","total 15-74 years","2015M11",6.4
"total","total 15-74 years","2015M12",6.8
"total","total 15-74 years","2016M01",7.6
"total","total 15-74 years","2016M02",7.7
"total","total 15-74 years","2016M03",7.9
"total","total 15-74 years","2016M04",7.4
"total","total 15-74 years","2016M05",7.7
"total","total 15-74 years","2016M06",7.7
"total","total 15-74 years","2016M07",6.4
"total","total 15-74 years","2016M08",6.7
"total","total 15-74 years","2016M09",6.2
"total","total 15-74 years","2016M10",6.5
"total","total 15-74 years","2016M11",6.3
"total","total 15-74 years","2016M12",6.6
"total","total 15-74 years","2017M01",7.5
"total","total 15-74 years","2017M02",7.5
"total","total 15-74 years","2017M03",6.9
"total","total 15-74 years","2017M04",7.3
"total","total 15-74 years","2017M05",7.3
"total","total 15-74 years","2017M06",7.4
"total","total 15-74 years","2017M07",6.6
"total","total 15-74 years","2017M08",6.1
"total","total 15-74 years","2017M09",6.3
"total","total 15-74 years","2017M10",6.4
"total","total 15-74 years","2017M11",5.9
"total","total 15-74 years","2017M12",6.2
"total","total 15-74 years","2018M01",7.2
"total","total 15-74 years","2018M02",6.4
"total","total 15-74 years","2018M03",6.6
"total","total 15-74 years","2018M04",6.9
"total","total 15-74 years","2018M05",6.6
"total","total 15-74 years","2018M06",7.3
"total","total 15-74 years","2018M07",6.2
"total","total 15-74 years","2018M08",6.1
"total","total 15-74 years","2018M09",5.9
"total","total 15-74 years","2018M10",5.8
"total","total 15-74 years","2018M11",6.0
"total","total 15-74 years","2018M12",6.2
"total","total 15-74 years","2019M01",6.7
"total","total 15-74 years","2019M02",7.4
"total","total 15-74 years","2019M03",7.8
"total","total 15-74 years","2019M04",6.9
"total","total 15-74 years","2019M05",7.3
"total","total 15-74 years","2019M06",7.3
"total","total 15-74 years","2019M07",7.0
"total","total 15-74 years","2019M08",7.0
"total","total 15-74 years","2019M09",6.1
"total","total 15-74 years","2019M10",6.2
"total","total 15-74 years","2019M11",7.0
"total","total 15-74 years","2019M12",6.2
"total","total 15-74 years","2020M01",7.7
"total","total 15-74 years","2020M02",8.3
"total","total 15-74 years","2020M03",7.3
"total","total 15-74 years","2020M04",8.5
"total","total 15-74 years","2020M05",9.2
"total","total 15-74 years","2020M06",10.0
"total","total 15-74 years","2020M07",9.1
"total","total 15-74 years","2020M08",9.0
"total","total 15-74 years","2020M09",8.4
"total","total 15-74 years","2020M10",8.0
"total","total 15-74 years","2020M11",7.8
"total","total 15-74 years","2020M12",8.5
"total","total 15-74 years","2021M01",9.4
"total","total 15-74 years","2021M02",9.7
"total","total 15-74 years","2021M03",10.2
"total","total 15-74 years","2021M04",9.4
"total","total 15-74 years","2021M05",9.8
"total","total 15-74 years","2021M06",10.5
"total","total 15-74 years","2021M07",8.0
"total","total 15-74 years","2021M08",8.6
"total","total 15-74 years","2021M09",8.4
"total","total 15-74 years","2021M10",7.7
"total","total 15-74 years","2021M11",7.6
"total","total 15-74 years","2021M12",7.4
"total","total 15-74 years","2022M01",8.4
"total","total 15-74 years","2022M02",7.9
"total","total 15-74 years","2022M03",8.2
"total","total 15-74 years","2022M04",8.2
"total","total 15-74 years","2022M05",8.5
"total","total 15-74 years","2022M06",8.6
"total","total 15-74 years","2022M07",6.5
"total","total 15-74 years","2022M08",6.6
"total","total 15-74 years","2022M09",6.5
"total","total 15-74 years","2022M10",7.1
"total","total 15-74 years","2022M11",6.4
"total","total 15-74 years","2022M12",6.9
"total","total 15-74 years","2023M01",7.6
"total","total 15-74 years","2023M02",8.2
"total","total 15-74 years","2023M03",7.7
"total","total 15-74 years","2023M04",7.5
"total","total 15-74 years","2023M05",7.9
"total","total 15-74 years","2023M06",9.3
"total","total 15-74 years","2023M07",6.2
"total","total 15-74 years","2023M08",7.7
"total","total 15-74 years","2023M09",7.7
"total","total 15-74 years","2023M10",7.4
