"sex","age","month","unemployed"
"men","total 15-74 years","2014M04",8.5
"men","total 15-74 years","2014M05",8.5
"men","total 15-74 years","2014M06",9.7
"men","total 15-74 years","2014M07",7.4
"men","total 15-74 years","2014M08",7.6
"men","total 15-74 years","2014M09",7.4
"men","total 15-74 years","2014M10",7.5
"men","total 15-74 years","2014M11",7.6
"men","total 15-74 years","2014M12",7.6
"men","total 15-74 years","2015M01",8.5
"men","total 15-74 years","2015M02",8.7
"men","total 15-74 years","2015M03",8.3
"men","total 15-74 years","2015M04",8.5
"men","total 15-74 years","2015M05",8.2
"men","total 15-74 years","2015M06",8.5
"men","total 15-74 years","2015M07",6.7
"men","total 15-74 years","2015M08",6.7
"men","total 15-74 years","2015M09",6.9
"men","total 15-74 years","2015M10",6.5
"men","total 15-74 years","2015M11",6.5
"men","total 15-74 years","2015M12",7.2
"men","total 15-74 years","2016M01",7.9
"men","total 15-74 years","2016M02",8.2
"men","total 15-74 years","2016M03",8.7
"men","total 15-74 years","2016M04",7.6
"men","total 15-74 years","2016M05",7.8
"men","total 15-74 years","2016M06",8.4
"men","total 15-74 years","2016M07",6.7
"men","total 15-74 years","2016M08",6.6
"men","total 15-74 years","2016M09",6.6
"men","total 15-74 years","2016M10",6.7
"men","total 15-74 years","2016M11",6.4
"men","total 15-74 years","2016M12",7.1
"men","total 15-74 years","2017M01",7.8
"men","total 15-74 years","2017M02",8.1
"men","total 15-74 years","2017M03",7.3
"men","total 15-74 years","2017M04",7.7
"men","total 15-74 years","2017M05",7.5
"men","total 15-74 years","2017M06",7.7
"men","total 15-74 years","2017M07",6.7
"men","total 15-74 years","2017M08",6.3
"men","total 15-74 years","2017M09",6.3
"men","total 15-74 years","2017M10",6.6
"men","total 15-74 years","2017M11",6.0
"men","total 15-74 years","2017M12",6.1
"men","total 15-74 years","2018M01",7.2
"men","total 15-74 years","2018M02",6.9
"men","total 15-74 years","2018M03",6.6
"men","total 15-74 years","2018M04",7.1
"men","total 15-74 years","2018M05",7.3
"men","total 15-74 years","2018M06",7.0
"men","total 15-74 years","2018M07",6.2
"men","total 15-74 years","2018M08",6.4
